run	sample	study	bioproject	biosample	center	releasedate	platform	instrument	librarylayout	libraryselection	assay_type	mbases
SRR040579	SRS023617	SRP002395	PRJNA48333	SAMN00044835	BI	2010-04-29	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR040580	SRS016529	SRP002395	PRJNA48333	SAMN00037747	BI	2010-04-29	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR040650	SRS017533	SRP002395	PRJNA48333	SAMN00038751	BI	2010-04-29	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR040656	SRS016529	SRP002395	PRJNA48333	SAMN00037747	BI	2010-04-29	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR040670	SRS013502	SRP002395	PRJNA48333	SAMN00034720	BI	2010-04-29	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR040686	SRS013502	SRP002395	PRJNA48333	SAMN00034720	BI	2010-04-29	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR040710	SRS017533	SRP002395	PRJNA48333	SAMN00038751	BI	2010-04-29	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR040741	SRS013234	SRP002395	PRJNA48333	SAMN00034452	BI	2010-04-29	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR040772	SRS023617	SRP002395	PRJNA48333	SAMN00044835	BI	2010-04-29	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR040781	SRS024580	SRP002395	PRJNA48333	SAMN00045798	BI	2010-04-29	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR040853	SRS058770	SRP002395	PRJNA48333	SAMN10657908	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR040886	SRS017307	SRP002395	PRJNA48333	SAMN00038525	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR040913	SRS017701	SRP002395	PRJNA48333	SAMN00038919	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR040921	SRS057692	SRP002395	PRJNA48333	SAMN00077701	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR040925	SRS018133	SRP002395	PRJNA48333	SAMN10657930	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR040926	SRS018145	SRP002395	PRJNA48333	SAMN00039363	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR040944	SRS023971	SRP002395	PRJNA48333	SAMN00045189	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	2
SRR040978	SRS017713	SRP002395	PRJNA48333	SAMN00038931	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR041032	SRS017103	SRP002395	PRJNA48333	SAMN00038321	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR041050	SRS017521	SRP002395	PRJNA48333	SAMN10657905	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR041118	SRS018427	SRP002395	PRJNA48333	SAMN00039645	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR041132	SRS024331	SRP002395	PRJNA48333	SAMN00045549	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR041135	SRS020233	SRP002395	PRJNA48333	SAMN00041451	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR041171	SRS024388	SRP002395	PRJNA48333	SAMN00045606	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	2
SRR041174	SRS018439	SRP002395	PRJNA48333	SAMN00039657	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR041243	SRS024625	SRP002395	PRJNA48333	SAMN00045843	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR041244	SRS024637	SRP002395	PRJNA48333	SAMN00045855	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR041276	SRS023557	SRP002395	PRJNA48333	SAMN00044775	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR041310	SRS017821	SRP002395	PRJNA48333	SAMN00039039	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR041333	SRS016954	SRP002395	PRJNA48333	SAMN00038172	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	3
SRR041426	SRS043701	SRP002395	PRJNA48333	SAMN00063710	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR041435	SRS017191	SRP002395	PRJNA48333	SAMN00038409	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
SRR041447	SRS017209	SRP002395	PRJNA48333	SAMN00038427	BI	2010-05-11	LS454	454 GS FLX Titanium	SINGLE	PCR	AMPLICON	4
