run	sample	study	bioproject	biosample	center	releasedate	platform	instrument	librarylayout	libraryselection	assay_type	mbases	alias	kit	dilution
ERR588920	ERS534915	ERP006808	PRJEB7119	SAMEA2735021	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	88	CAMBIO_1	CAMBIO	1
ERR588921	ERS534916	ERP006808	PRJEB7119	SAMEA2735022	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	36	CAMBIO_2	CAMBIO	2
ERR588922	ERS534917	ERP006808	PRJEB7119	SAMEA2735023	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	0	CAMBIO_3	CAMBIO	3
ERR588923	ERS534918	ERP006808	PRJEB7119	SAMEA2735024	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	0	CAMBIO_4	CAMBIO	4
ERR588924	ERS534919	ERP006808	PRJEB7119	SAMEA2735025	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	0	CAMBIO_5	CAMBIO	5
ERR588925	ERS534920	ERP006808	PRJEB7119	SAMEA2735026	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	0	CAMBIO_6	CAMBIO	6
ERR588926	ERS534921	ERP006808	PRJEB7119	SAMEA2735027	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	0	CAMBIO_7	CAMBIO	7
ERR588927	ERS534922	ERP006808	PRJEB7119	SAMEA2735028	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	0	CAMBIO_8	CAMBIO	8
ERR588928	ERS534923	ERP006808	PRJEB7119	SAMEA2735029	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	0	CAMBIO_9	CAMBIO	9
ERR588929	ERS534924	ERP006808	PRJEB7119	SAMEA2735030	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	0	CAMBIO_10	CAMBIO	10
ERR588930	ERS534925	ERP006808	PRJEB7119	SAMEA2735031	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	88	MP_BIO_1	MP_BIO	1
ERR588931	ERS534926	ERP006808	PRJEB7119	SAMEA2735032	UBP-CNRS	2014-08-31	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	WGS	229	MP_BIO_2	MP_BIO	2
